;;;;;;;;males;;;;females;;;males;females;offspring;;;;
;;;;;;;;white eyes;;;;red eyes;;;red eyes;white eyes;;;;;
vialNr;fliesScoredBy;vialsScoredBy;population;line;mother;cross;genotype;males_whiteeyes_RG;males_whiteeyes_G;males_whiteeyes_R;males_whiteeyes_N;females_redeyes_R;females_redeyes_NR;females_redeyes_unclear;males_redeyes_unclear;females_whiteeyes_NR;offspring_unclear;unhatched;dead;mediumLooks;notes
91;Nicky;Nicky;AK;1;1;2;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
92;Nicky;Nicky;UM;5;4;5;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
93;Nicky;Nicky;AK;2;1;2;CO;0;17;0;11;0;0;26;0;0;0;0;0;fresh;
94;Nicky;Nicky;MU;5;5;3;GD;12;2;3;2;0;0;20;0;0;0;0;0;fresh;
95;Nicky;Nicky;UM;3;5;1;GD;10;1;7;4;0;0;32;0;0;0;1;0;fresh;
96;Nicky;Nicky;KA;2;6;1;GD;13;0;5;2;0;0;16;0;0;0;4;0;fresh;
97;Nicky;Nicky;RE;2;1;2;CO;0;18;0;9;0;0;27;0;0;0;0;0;fresh;
98;Nicky;Nicky;MU;3;1;2;GD;11;4;14;0;0;0;42;0;0;0;3;0;fresh;
99;Nicky;Nicky;RE;3;3;3;GD;16;3;24;3;0;0;54;0;0;0;0;0;fresh;
100;Nicky;Nicky;MA;4;3;4;GD;17;4;19;2;0;0;52;0;0;0;1;0;fresh;
101;Nicky;Nicky;RE;4;1;4;GD;18;2;19;3;0;0;50;0;0;0;5;0;fresh;
102;Nicky;Nicky;UM;6;5;4;GD;14;1;14;2;0;0;34;0;0;0;2;11;brown;black larvae (10ish)
103;Nicky;Nicky;MA;7;4;5;CO;0;28;0;20;0;0;53;0;0;0;0;4;brown;black larvae (5ish)
104;Nicky;Nicky;RE;2;4;4;CO;0;11;0;14;0;0;32;0;0;0;0;1;fresh;
105;Nicky;Nicky;MU;1;2;1;GD;4;2;12;4;0;0;24;0;0;0;4;0;fresh;
106;Nicky;Nicky;UM;1;4;1;CO;0;20;0;21;0;0;63;0;0;0;13;1;fresh;
107;Nicky;Nicky;RE;6;5;1;GD;15;5;10;5;0;0;50;0;0;0;0;0;brown;black larvae (30ish)
108;Nicky;Nicky;AK;1;2;4;GD;12;5;8;11;0;0;27;0;0;0;2;0;fresh;
109;Nicky;Nicky;MU;3;6;2;CO;0;10;0;10;0;0;26;0;0;0;0;1;fresh;
110;Nicky;Nicky;RE;1;5;5;CO;0;26;0;28;0;0;53;0;0;0;7;0;fresh;
111;Nicky;Nicky;MU;1;3;2;GD;11;1;19;1;0;0;44;0;0;0;0;0;fresh;
112;Nicky;Nicky;KA;4;1;5;GD;25;2;26;0;0;0;61;0;0;0;3;0;fresh;
113;Nicky;Nicky;UM;4;5;4;GD;13;4;18;2;0;0;41;0;0;0;3;0;fresh;
